,sentence,sentiment_polarity,sentiment_subjectivity
0, 5555,0.0,0.0
1, ('127.0.0.1',-0.75,1.0
2,//t.co/b2rJdoZbVj',0.0,0.0
3, Publicizing this loudly is going to have the same effect that publicizing black and brown folk were the ones dispropor\xe2\x80\xa6',-0.022222222222222216,0.4527777777777778
4, I don\xe2\x80\x99t support looting,0.0,0.0
5,//t.co/UKwbxsk942',0.0,0.0
6, M\xc3\xa1s que \xe2\x80\x9crebrote\xe2\x80\x9d,0.0,0.0
7, If 95% of Americans wore masks in public,0.0,0.06666666666666667
8,Pence always seems to look like an embalmed corpse. Why is that?',0.0,0.0
9, Ohhh Noooooooo \nLol\n\nHe lives.',0.0,0.0
10, Taraba State government reportedly begins immediate distribution of Covid19 palliatives.',0.0,0.0
11,Sobre todo,0.0,0.0
12, \xe2\x80\x9cToday,0.0,0.0
13,//t.co/K8eki2fDsN',0.0,0.0
14," ""Good noW!""\xc2\xae",0.875,0.6000000000000001
15, Nigerian protesters forced their way inside a hidden warehouse full of COVID-19 food aid that was originally for them but\xe2\x80\xa6',0.06458333333333333,0.45833333333333337
16, Reforcemos las medidas de mitigaci\xc3\xb3n contra la expansi\xc3\xb3n de el Covid19 \n\n#UsaCubrebocas Gel Antibacterial y lo m\xc3\xa1s impo\xe2\x80\xa6',0.0,0.0
17, \xe2\x80\x9cToday,0.0,0.0
18, \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 ALERTE - 45 422 cas de #COVID19 d\xc3\xa9tect\xc3\xa9s en 24h,0.0,0.0
19,Did I miss this in the news? \nKansas county spends $350K of COVID-19 relief money on cameras for soccer park,0.0,0.0
20, Nigerians are now finding hidden warehouse filled with MONTHS of COVID relief packages of food today smh . The government is\xe2\x80\xa6',0.11666666666666668,0.6166666666666667
21, Pence is staying on the trail. Unbelievable.',-0.25,1.0
22, \xf0\x9f\x91\x87\xf0\x9f\x8f\xbcNAILED IT\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\n\n#coronavirus #COVID19 #COVIDIOT',0.0,0.0
23,"//t.co/04EDPcYfgs""",0.0,0.3
24, This is the guy managing the White House Coronavirus task force.  \n\nI feel like this is a sign from God. Vote for Biden ht\xe2\x80\xa6',0.0,0.0
25, From Jon Ossoff\xe2\x80\xa6 It gets worse for David Perdue,-0.4,0.6
26, \xd0\xa1\xd1\x83\xd1\x88\xd1\x82\xd0\xb8\xd0\xbd\xd0\xb0 \xd1\x81\xd0\xb2\xd0\xb5\xd0\xb3\xd0\xb0 \xd1\x88\xd1\x82\xd0\xbe \xd0\xb8\xd0\xb7\xd0\xb3\xd0\xbe\xd0\xb2\xd0\xbe\xd1\x80\xd0\xb8\xd1\x82\xd0\xb5 \xd1\x98\xd0\xb5 \xd0\xbb\xd0\xb0\xd0\xb6. \xd0\x92\xd0\xb0\xd0\xbc\xd0\xb0 \xd1\x98\xd0\xb5 \xd0\xbb\xd0\xb0\xd0\xb6 \xd0\xbf\xd1\x80\xd0\xb0\xd0\xb2\xd0\xb8\xd0\xbb\xd0\xbe \xd0\xb8 \xd0\xbd\xd0\xb0\xd1\x87\xd0\xb8\xd0\xbd \xd0\xb2\xd0\xbe\xd1\x92\xd0\xb5\xd1\x9a\xd0\xb0 \xd1\x86\xd0\xb5\xd0\xbb\xd0\xbe\xd0\xba\xd1\x83\xd0\xbf\xd0\xbd\xd0\xb5 \xd0\xb2\xd0\xb0\xd1\x88\xd0\xb5 \xd0\xbf\xd0\xbe\xd0\xbb\xd0\xb8\xd1\x82\xd0\xb8\xd0\xba\xd0\xb5. \xd0\x94\xd1\x80\xd1\x81\xd0\xba\xd0\xbe \xd0\xb8 \xd1\x81\xd0\xb2\xd0\xb0\xd0\xba\xd0\xbe\xd0\xb4\xd0\xbd\xd0\xb5\xd0\xb2\xd0\xbd\xd0\xbe \xd0\xbb\xd0\xb0\xd0\xb3\xd0\xb0\xd1\x9a\xd0\xb5\xe2\x80\xa6',0.0,0.0
27,*SANGRE* S\xc3\xa9 un h\xc3\xa9roe,0.0,0.0
28,//t.co/Asvo8VAgJW',0.0,0.0
29,//t.co/LfSbD6pWEc',0.3,0.5
30, [BARU TERIMA] Seorang staf operasi Mass Rapit Transit (MRT) Laluan Kajang  disahkan positif COVID-19 dan kini dikuarantin\xe2\x80\xa6',-0.75,1.0
31,//t.co/9OS0GsYw7,0.0,0.0
32,//t.co/M4oLTCR21M  #BrisaBolivarianaEnVict\xe2\x80\xa6',0.0,0.0
33,Who\xe2\x80\x99s just as not shocked as me?',0.35,0.8
34, did the virus personally tell you this',0.0,0.3
35,@duart7k @giomenee @saaahcs tem q ser mt idiota p pega corona kkkkk bagui mais psicol\xc3\xb3gico q existe',0.0,0.0
36,RT @IvankaTrump @jaredkushner #COVID19 demons',0.0,0.0
37,A esta hora estaba saliendo a beber,0.0,0.0
38,\xe0\xb8\xab\xe0\xb8\xa3\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x88\xe0\xb8\xb0\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb9\x82\xe0\xb8\x84\xe0\xb8\xa7\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xf0\x9f\xa4\x94?',0.0,0.0
39, 1.  Donald Trump,0.0,0.0
40, \xe2\x80\x9cToday,0.0,0.0
41, This is beautiful,0.85,1.0
42, New White House outbreak.',0.06818181818181818,0.22727272727272727
43, \xe0\xb9\x80\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xb5\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x8d\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x9b\xe0\xb8\xb8\xe0\xb9\x88\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x9e\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94 \n\xe0\xb8\x9d\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x88\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\xa8\xe0\xb8\xaa\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb9\x81\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2\xe0\xb9\x84\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xa1\xe0\xb8\xb5\xe0\xb9\x83\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xe0\xb9\x80\xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87',0.0,0.0
44, Watch this @realDonaldTrump,0.0,0.0
45,//t.co/qUkk5CoObw',0.475,0.575
46,//t.co/WlhCOtUMGm',0.22727272727272727,0.5454545454545454
