,sentence,sentiment_polarity,sentiment_subjectivity
2,RT @danyaljaveed: Python For Data Science #CheatSheets #BigData #Analytics #DeepLearning #MachineLearning #DataScience #AI #IoT #IIoT #Iot3\xe2\x80\xa6',0.0,0.0
3,RT @currypurin: u++\xe3\x81\x95\xe3\x82\x93(@upura0 )\xe3\x81\xa8\xe3\x80\x81\xe8\xac\x9b\xe8\xab\x87\xe7\xa4\xbe\xe3\x81\x95\xe3\x82\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x80\x81Kaggle\xe3\x81\xae\xe5\x85\xa5\xe9\x96\x80\xe6\x9b\xb8\xe3\x82\x92\xe5\x87\xba\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\n\xe4\xb8\xbb\xe3\x81\xabNovice\xef\xbc\x88Kaggle\xe6\x9c\xaa\xe4\xbd\x93\xe9\xa8\x93\xef\xbc\x89\xe3\x81\xae\xe6\x96\xb9\xe3\x82\x92\xe5\xaf\xbe\xe8\xb1\xa1\xe3\x81\xab\xe3\x81\x97\xe3\x81\x9f\xe6\x9c\xac\xe3\x81\xa7\xe3\x80\x81\xe5\x88\x9d\xe5\xad\xa6\xe8\x80\x85\xe3\x81\xae\xe6\x96\xb9\xe3\x81\x8cKaggle\xe3\x81\xae\xe3\x82\xb3\xe3\x83\xb3\xe3\x83\x9a\xe3\x81\xab\xe5\x8f\x96\xe3\x82\x8a\xe7\xb5\x84\xe3\x82\x80\xe7\x9f\xa5\xe8\xad\x98\xe3\x82\x92\xe7\xbf\x92\xe5\xbe\x97\xe3\x81\xa7\xe3\x81\x8d\xe3\x82\x8b\xe6\x9c\xac\xe3\x82\x92\xe7\x9b\xae\xe6\x8c\x87\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\n2\xe4\xba\xba\xe3\x81\xae\xe4\xbd\x93\xe9\xa8\x93\xe8\xab\x87\xe3\x82\x82\xe9\x9a\x8f\xe6\x89\x80\xe3\x81\xab\xe7\x9b\x9b\xe2\x80\xa6',0.0,0.0
4,RT @djpardis: We are hiring for the Data Science organization at Carbon Health! \xe2\x9a\x95\xef\xb8\x8f \n\nHere is the job description with a list of current and\xe2\x80\xa6',0.0,0.4
5,\xd9\x85\xd9\x86 \xd9\x8a\xd8\xaa\xd9\x81\xd9\x82 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x85\xd8\xa7\xd8\xb0\xd9\x83\xd8\xb1 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa7\xd8\xb3\xd9\x81\xd9\x84.',0.0,0.0
6,RT @livelovegeek: Day 4 of #DevDecember is one of my favorite pieces of content from @ch9 this year,0.5,1.0
7,RT @dlearningland: Don\xe2\x80\x99t miss out the discount | #CyberMonday | #CyberMonday2019 | Tableau 10 and Tableau 9.3 Desktop,0.0,0.0
8,"b""WE'VE GOT JOKES! #DevDecember https://t.co/szsfs6rjCs""",0.0,0.0
9,Goa Institute of Management\xe2\x80\x99s PGDM in BIG DATA ANALYTICS is enhanced with a state-of-the-art Data Science Laborator\xe2\x80\xa6 https://t.co/kxzl1ZGPmN',0.0,0.1
10,RT @dlearningland: Don\xe2\x80\x99t miss out the discount | #CyberMonday | #CyberMonday2019 | Tableau 10 and Tableau 9.3 Desktop,0.0,0.0
11,RT @PurdueUnivNews: .@LifeAtPurdue announces plans to build new Data Science building. @PurdueScience. https://t.co/AC10z8efSi https://t.co\xe2\x80\xa6',0.13636363636363635,0.45454545454545453
12,Deep Learning Prerequisites: Logistic Regression in Python #udemyfree #udemycoupon -&gt; https://t.co/NeWQBZAJJt\xe2\x80\xa6 https://t.co/lXQeJ8roxP',0.0,0.4
13,RT @FreeHipwee: Deep Learning Prerequisites: Logistic Regression in Python #udemyfree #udemycoupon -&gt; https://t.co/NeWQBZAJJt\n\n#DataScience\xe2\x80\xa6',0.0,0.4
14,RT @FreeHipwee: Deep Learning Prerequisites: Logistic Regression in Python #udemyfree #udemycoupon -&gt; https://t.co/NeWQBZAJJt\n\n#DataScience\xe2\x80\xa6',0.0,0.4
15,RT @FreeHipwee: Deep Learning Prerequisites: Logistic Regression in Python #udemyfree #udemycoupon -&gt; https://t.co/NeWQBZAJJt\n\n#DataScience\xe2\x80\xa6',0.0,0.4
16,RT @Ferbeltranmx: One-page R: a survival guide to data science with R\n#datascience #ai #machinelearning #bigdata #artificialintelligence #i\xe2\x80\xa6',0.0,0.0
17,RT @FreeHipwee: Deep Learning Prerequisites: Logistic Regression in Python #udemyfree #udemycoupon -&gt; https://t.co/NeWQBZAJJt\n\n#DataScience\xe2\x80\xa6',0.0,0.4
